Date	Time	Rg	Ratm	Rn	T_soilref	Ta	RH	uref	LAI_total	LAI_green	displacement_height	z0_soil	z0_canopy	zh	zref	Rain	O3_concentration	Pesticid_concentration	Pest_soil	NH3_concentration	GammaLeaf_NH3	GammaSoil_NH3	R_litter_NH3
[dd/mm/yyyy]	[hh:mm]	[W.m-2]	[W.m-2]	[W.m-2]	[°C]	[°C]	[%]	[m.s-1]	[m2.m-2]	[m2.m-2]	[m]	[m]	[m]	[m]	[m]	[mm]	[µg.m-3]	[µg.m-3]	[µg.m-3]	[µg.m-3]	[-]	[-]	[s.m-1]
15/09/2008	00:00	-2.615	358.1678548	-67.12	16.93	8.92	88.6	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	26.986734	0	0	0	250	3000	0
15/09/2008	00:30	-2.663	359.643863	-67.41	16.9	9.21	88.4	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	21.272562	0	0	0	250	3000	0
15/09/2008	01:00	-2.756	360.2559575	-68.05	16.865	9.33	87.9	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	14.972155	0	0	0	250	3000	0
15/09/2008	01:30	-2.911	361.0732985	-63.05	16.82	9.49	88	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	16.864317	0	0	0	250	3000	0
15/09/2008	02:00	-2.977	359.4400049	-61	16.77	9.17	88	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	24.66009	0	0	0	250	3000	0
15/09/2008	02:30	-2.859	356.747059	-60.22	16.715	8.64	90.1	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	18.882883	0	0	0	250	3000	0
15/09/2008	03:00	-2.896	355.6336881	-63.37	16.66	8.42	91.3	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	19.865234	0	0	0	250	3000	0
15/09/2008	03:30	-2.316	350.2557718	-57.04	16.595	7.35	92.4	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	23.704826	0	0	0	250	3000	0
15/09/2008	04:00	-1.771	347.202394	-58.57	16.525	6.737	93.9	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	20.980884	0	0	0	250	3000	0
15/09/2008	04:30	-1.855	348.9084198	-56.27	16.46	7.08	94.5	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	19.308355	0	0	0	250	3000	0
15/09/2008	05:00	-2.076	351.2563232	-54.91	16.39	7.55	94.5	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	14.251741	0	0	0	250	3000	0
15/09/2008	05:30	1.67	350.3057485	-48.4	16.305	7.36	94.1	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	21.894387	0	0	0	250	3000	0
15/09/2008	06:00	50.08	349.5067621	-14.84	16.23	7.2	94.3	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	16.637767	0	0	0	250	3000	0
15/09/2008	06:30	139.7	350.0059682	55.76	16.15	7.3	94.1	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	15.905811	0	0	0	250	3000	0
15/09/2008	07:00	247.9	354.0692732	122.1	16.07	8.11	93.8	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	30.800144	0	0	0	250	3000	0
15/09/2008	07:30	333.6	362.0456964	169.4	15.99	9.68	89.9	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	48.386405	0	0	0	250	3000	0
15/09/2008	08:00	379.4	368.0251103	201.4	15.9	10.84	82.2	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	62.234155	0	0	0	250	3000	0
15/09/2008	08:30	463.7	375.1294356	260	15.82	12.2	75.4	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0.2	71.716806	0	0	0	250	3000	0
15/09/2008	09:00	567.2	381.8560283	334.5	15.745	13.47	65.6	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	76.840919	0	0	0	250	3000	0
15/09/2008	09:30	660.3	384.2074668	413.6	15.67	13.91	62.36	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	77.852283	0	0	0	250	3000	0
15/09/2008	10:00	645.9	388.1866292	406.6	15.6	14.65	58.6	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	80.316099	0	0	0	250	3000	0
15/09/2008	10:30	699.9	391.3812855	436.8	15.55	15.24	53.78	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	81.787799	0	0	0	250	3000	0
15/09/2008	11:00	791	396.4569165	525.2	15.505	16.17	47.83	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	82.550923	0	0	0	250	3000	0
15/09/2008	11:30	477.8	396.895824	316.2	15.475	16.25	44.87	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	83.443875	0	0	0	250	3000	0
15/09/2008	12:00	469	396.6763247	281.5	15.465	16.21	46.44	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	82.909181	0	0	0	250	3000	0
15/09/2008	12:30	443.2	397.0056077	261.1	15.465	16.27	45.26	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	83.838108	0	0	0	250	3000	0
15/09/2008	13:00	458.7	397.1154143	266.8	15.485	16.29	44.07	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	84.099497	0	0	0	250	3000	0
15/09/2008	13:30	368.6	398.4899191	208.1	15.52	16.54	45.12	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	85.340106	0	0	0	250	3000	0
15/09/2008	14:00	237.8	396.0183732	127	15.56	16.09	49.2	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	86.221093	0	0	0	250	3000	0
15/09/2008	14:30	239.7	395.799238	125.5	15.615	16.05	49.16	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	87.792408	0	0	0	250	3000	0
15/09/2008	15:00	158.8	395.4707057	77.7	15.68	15.99	49.99	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	87.960975	0	0	0	250	3000	0
15/09/2008	15:30	149.2	393.7765461	71.5	15.745	15.68	52.64	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	88.639124	0	0	0	250	3000	0
15/09/2008	16:00	135.9	393.558342	60.69	15.815	15.64	54.12	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	88.47541	0	0	0	250	3000	0
15/09/2008	16:30	94.9	391.6529224	32.58	15.885	15.29	56.47	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	88.010513	0	0	0	250	3000	0
15/09/2008	17:00	40.43	390.1877613	1.789	15.955	15.02	58.46	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	88.269294	0	0	0	250	3000	0
15/09/2008	17:30	16.38	388.4025959	-14.15	16.02	14.69	60.96	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	86.134103	0	0	0	250	3000	0
15/09/2008	18:00	6.494	386.623563	-20.04	16.08	14.36	63.26	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	84.324754	0	0	0	250	3000	0
15/09/2008	18:30	-0.457	385.1725423	-21.47	16.14	14.09	64.72	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	86.09329	0	0	0	250	3000	0
15/09/2008	19:00	-0.99	383.5115965	-23.06	16.185	13.78	67.04	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	83.4677	0	0	0	250	3000	0
15/09/2008	19:30	-1.075	381.696097	-25.59	16.235	13.44	69.26	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	76.522319	0	0	0	250	3000	0
15/09/2008	20:00	-0.881	380.4716252	-23.36	16.27	13.21	69.63	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	82.744167	0	0	0	250	3000	0
15/09/2008	20:30	-0.998	379.197059	-22.83	16.3	12.97	71.6	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	88.37939	0	0	0	250	3000	0
15/09/2008	21:00	-1.037	378.0315223	-21.73	16.32	12.75	73.5	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	89.953424	0	0	0	250	3000	0
15/09/2008	21:30	-1.064	377.0799016	-20.56	16.34	12.57	74.2	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	86.17585	0	0	0	250	3000	0
15/09/2008	22:00	-1.075	375.9192508	-25.11	16.35	12.35	75	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	74.385783	0	0	0	250	3000	0
15/09/2008	22:30	-1.084	373.8683208	-25.97	16.355	11.96	76.5	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	69.710703	0	0	0	250	3000	0
15/09/2008	23:00	-1.411	371.9303352	-37.47	16.355	11.59	77.1	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	68.18729	0	0	0	250	3000	0
15/09/2008	23:30	-1.525	370.9902604	-37.74	16.345	11.41	78.3	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	67.99442	0	0	0	250	3000	0
16/09/2008	00:00	-1.644	369.8437015	-43.71	16.335	11.19	78.9	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	60.604255	0	0	0	250	3000	0
16/09/2008	00:30	-2.99	366.7819583	-72	16.325	10.6	79	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	70.140775	0	0	0	250	3000	0
16/09/2008	01:00	-3.331	363.1227356	-69.53	16.31	9.89	79.8	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	65.07638	0	0	0	250	3000	0
16/09/2008	01:30	-2.766	358.0662289	-72.5	16.285	8.9	82.1	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	49.488267	0	0	0	250	3000	0
16/09/2008	02:00	-2.802	354.6237962	-70.5	16.255	8.22	87	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	44.782731	0	0	0	250	3000	0
16/09/2008	02:30	-2.957	356.7977288	-61.12	16.235	8.65	85.8	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	26.899828	0	0	0	250	3000	0
16/09/2008	03:00	-2.978	354.5733581	-59.09	16.2	8.21	86.2	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	30.415289	0	0	0	250	3000	0
16/09/2008	03:30	-2.671	351.3564961	-61.34	16.16	7.57	88.7	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	28.504054	0	0	0	250	3000	0
16/09/2008	04:00	-2.534	347.6593716	-62.64	16.12	6.829	90.5	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	28.049572	0	0	0	250	3000	0
16/09/2008	04:30	-2.574	347.9029458	-59.87	16.07	6.878	90.3	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	19.873298	0	0	0	250	3000	0
16/09/2008	05:00	-2.252	343.0212751	-61.97	16.015	5.891	91.5	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	21.79812	0	0	0	250	3000	0
16/09/2008	05:30	1.135	342.4165411	-56.93	15.96	5.768	92.8	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	21.826517	0	0	0	250	3000	0
16/09/2008	06:00	33.93	346.750827	-32.69	15.9	6.646	93	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	21.397945	0	0	0	250	3000	0
16/09/2008	06:30	103.6	348.9582523	13.9	15.835	7.09	91.6	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	15.787087	0	0	0	250	3000	0
16/09/2008	07:00	191.2	352.6606947	67.35	15.765	7.83	89	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	19.137295	0	0	0	250	3000	0
16/09/2008	07:30	288.1	357.6091799	140.7	15.695	8.81	84.2	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	16.560665	0	0	0	250	3000	0
16/09/2008	08:00	392.7	363.430902	219	15.62	9.95	78.9	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	30.07791	0	0	0	250	3000	0
16/09/2008	08:30	465.7	367.9213938	294	15.55	10.82	75	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	56.522259	0	0	0	250	3000	0
16/09/2008	09:00	518.3	371.4600748	326.6	15.475	11.5	71.4	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	68.176629	0	0	0	250	3000	0
16/09/2008	09:30	488.8	374.3933982	312.2	15.405	12.06	68.66	2.92332	0.0001	0.0001	0.015075	0.02	0.00201	0.0201	3.17	0	73.090908	0	0	0	250	3000	0
